date,station,PM2.5,PM10,NO2,SO2,CO,O3,O3.1,month,dayofyear,PM2.5_sub_index,PM10_sub_index,NO2_sub_index,SO2_sub_index,CO_sub_index,O3_sub_index,AQI,AQI_category,latitude,longitude
2023-03-13,Delhi_AnandVihar_2023-10-01_2023-11-30,129.27083333333334,381.8020833333333,99.13958333333332,20.67833333333333,1.9274305555555555,21.144791666666663,21.144791666666663,3,72,307.3473837209302,339.60007911392404,119.13958333333332,25.847916666666663,96.04899691358024,21.144791666666663,339.60007911392404,Very Poor,28.6476,77.3158
2023-03-13,Kolkata_Victoria_2023-10-01_2023-11-30,80.97708333333334,126.45729166666666,10.638368055555556,10.620763888888888,1.3971527777777777,67.86215277777778,67.86215277777778,3,72,169.19762931034484,117.91457634228188,13.297960069444446,13.27595486111111,67.17831790123456,67.86215277777778,169.19762931034484,Moderate,22.5448,88.3426
2023-03-13,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,72,,,,,,,,Unknown,19.0544,72.8402
2023-03-14,Chennai_Alandur_2023-10-01_2023-11-30,71.88017361111112,110.58493055555556,28.77232638888889,18.706527777777776,1.439375,39.91232638888889,39.91232638888889,3,73,138.14266163793104,107.36851090604029,35.96540798611111,23.38315972222222,69.47708333333333,39.91232638888889,138.14266163793104,Moderate,13.0012,80.2014
2023-03-14,Delhi_AnandVihar_2023-10-01_2023-11-30,110.34375,334.09375,96.76354166666664,24.334722222222226,2.178472222222222,20.289583333333333,20.289583333333333,3,73,267.0355603448276,284.09375,116.76354166666664,30.418402777777786,101.98338607594935,20.289583333333333,284.09375,Poor,28.6476,77.3158
2023-03-14,Kolkata_Victoria_2023-10-01_2023-11-30,45.96449275362319,102.77717391304348,10.683958333333337,14.509722222222225,0.9967708333333332,73.40231884057971,73.40231884057971,3,73,76.28483258370815,102.18080682812956,13.35494791666667,18.137152777777786,49.83854166666666,73.40231884057971,102.18080682812956,Moderate,22.5448,88.3426
2023-03-14,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,73,,,,,,,,Unknown,19.0544,72.8402
2023-03-15,Chennai_Alandur_2023-10-01_2023-11-30,75.29524305555556,115.83982638888888,25.51079861111112,19.315590277777776,1.5523958333333334,21.766458333333333,21.766458333333333,3,74,149.80100215517243,110.86001887583892,31.8884982638889,24.14448784722222,75.63043981481482,21.766458333333333,149.80100215517243,Moderate,13.0012,80.2014
2023-03-15,Delhi_AnandVihar_2023-10-01_2023-11-30,164.78819444444443,481.2604166666667,106.69791666666669,32.746180555555554,1.590625,54.97777777777778,54.97777777777778,3,74,334.6048934108527,430.4424926035503,126.69791666666669,40.93272569444444,77.71180555555554,54.97777777777778,430.4424926035503,Severe,28.6476,77.3158
2023-03-15,Kolkata_Victoria_2023-10-01_2023-11-30,30.582971014492752,86.23985507246377,10.498576388888887,12.813152173913045,0.9361231884057972,74.09264492753623,74.09264492753623,3,74,,86.23985507246377,13.123220486111109,16.016440217391306,46.80615942028986,74.09264492753623,86.23985507246377,Satisfactory,22.5448,88.3426
2023-03-15,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,74,,,,,,,,Unknown,19.0544,72.8402
2023-03-16,Chennai_Alandur_2023-10-01_2023-11-30,38.611666666666665,59.39954861111111,19.632638888888888,18.785104166666667,1.33,14.899375,14.899375,3,75,63.86109195402298,59.39954861111111,24.54079861111111,23.48138020833333,63.52222222222223,14.899375,63.86109195402298,Satisfactory,13.0012,80.2014
2023-03-16,Delhi_AnandVihar_2023-10-01_2023-11-30,120.375,321.8645833333333,72.33333333333333,22.025,1.1195652173913044,38.74479166666666,38.74479166666666,3,75,,271.8645833333333,90.36752136752136,27.53125,52.06521739130435,38.74479166666666,271.8645833333333,Poor,28.6476,77.3158
2023-03-16,Kolkata_Victoria_2023-10-01_2023-11-30,39.35659722222223,72.37534722222222,10.518611111111111,7.066041666666667,0.6873958333333333,53.41,53.41,3,75,65.11976772030653,72.37534722222222,13.14826388888889,8.832552083333333,34.369791666666664,53.41,72.37534722222222,Satisfactory,22.5448,88.3426
2023-03-16,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,75,,,,,,,,Unknown,19.0544,72.8402
